Virtual User Script started at: 23.11.2023 21:08:44	[MsgId: MMSG-15967]
Starting action vuser_init.	[MsgId: MMSG-15919]
Web Turbo Replay of LoadRunner 12.55.0 for Windows 10; build 911 (Jul 24 2017 19:46:00)  	[MsgId: MMSG-26983]
Run mode: HTML  	[MsgId: MMSG-26993]
Replay user agent: Mozilla/5.0 (Windows NT 10.0; WOW64; Trident/7.0; rv:11.0) like Gecko  	[MsgId: MMSG-26988]
Run-Time Settings file: "C:\Users\ertas\AppData\Local\Temp\lr5tmpdir08g.240\lrcfgoQm.241\cfgQNF.246"  	[MsgId: MMSG-27141]
Vuser directory: "D:\Loadrunner\first\WebApps\4_LookAtListAndDelete"  	[MsgId: MMSG-27052]
Vuser output directory: "D:\Loadrunner\first\WebApps\4_LookAtListAndDelete"  	[MsgId: MMSG-27050]
Operating system's current working directory: "D:\Loadrunner\first\WebApps\4_LookAtListAndDelete"  	[MsgId: MMSG-27048]
UTC (GMT) start date/time   : 2023-11-23 16:08:44  	[MsgId: MMSG-26992]
LOCAL start date/time       : 2023-11-23 21:08:44  	[MsgId: MMSG-26991]
Local daylight-Savings-Time : No  	[MsgId: MMSG-26990]
Some of the Run-Time Settings:  	[MsgId: MMSG-27142]
    Download non-HTML resources: Yes  	[MsgId: MMSG-27018]
    Verification checks: No  	[MsgId: MMSG-27017]
    Convert from/to UTF-8: No  	[MsgId: MMSG-27016]
    Simulate a new user each iteration: Yes  	[MsgId: MMSG-27009]
    Non-critical item errors as warnings: Yes  	[MsgId: MMSG-27008]
    HTTP errors as warnings: No  	[MsgId: MMSG-27007]
    WinInet replay instead of Sockets: No  	[MsgId: MMSG-27006]
    HTTP version: 1.1  	[MsgId: MMSG-27005]
    Keep-Alive HTTP connections: Yes  	[MsgId: MMSG-27004]
    Max self Meta refresh updates: 2  	[MsgId: MMSG-27003]
    No proxy is used (direct connection to the Internet)  	[MsgId: MMSG-27171]
    DNS caching: Yes  	[MsgId: MMSG-27035]
    Simulate browser cache: Yes  	[MsgId: MMSG-27034]
        Cache URLs requiring content (e.g., HTMLs): Yes  	[MsgId: MMSG-27033]
            Additional URLs requiring content: None  	[MsgId: MMSG-27032]
        Check for newer versions every visit to the page: No  	[MsgId: MMSG-27031]
    Page download timeout (sec): 120  	[MsgId: MMSG-27030]
    Resource Page Timeout is a Warning: No  	[MsgId: MMSG-27029]
    ContentCheck enabled: Yes  	[MsgId: MMSG-27028]
    ContentCheck script-level file: "C:\Users\ertas\AppData\Local\Temp\lr5tmpdir08g.240\lrcfgoQm.241\LrwiAedScript.xml"  	[MsgId: MMSG-27027]
    Enable Web Page Breakdown: Yes  	[MsgId: MMSG-27026]
    Enable connection data points: Yes  	[MsgId: MMSG-27023]
    Process socket after reschedule: Yes  	[MsgId: MMSG-27022]
    Snapshot on error: No  	[MsgId: MMSG-27021]
    Define each step as a transaction: No  	[MsgId: MMSG-27020]
    Read beyond Content-Length: No  	[MsgId: MMSG-26994]
    Parse HTML Content-Type: TEXT  	[MsgId: MMSG-26999]
    Graph hits per second and HTTP status codes: Yes  	[MsgId: MMSG-26998]
    Graph response bytes per second: Yes  	[MsgId: MMSG-26997]
    Graph pages per second: No  	[MsgId: MMSG-26996]
    Web recorder version ID: 10  	[MsgId: MMSG-26995]
Ending action vuser_init.	[MsgId: MMSG-15918]
Running Vuser...	[MsgId: MMSG-15964]
Starting iteration 1.	[MsgId: MMSG-15968]
Maximum number of concurrent connections per server: 6  	[MsgId: MMSG-26989]
Starting action Action1.	[MsgId: MMSG-15919]
Action1.c(5): Notify: Transaction "4_LookAtListAndDelete" started.	[MsgId: MMSG-16999]
Action1.c(7): Notify: Transaction "Enterwebtour" started.	[MsgId: MMSG-16999]
Action1.c(9): web_reg_find started  	[MsgId: MMSG-26355]
Action1.c(9): Registering web_reg_find was successful  	[MsgId: MMSG-26390]
Action1.c(11): web_url("webtours") started  	[MsgId: MMSG-26355]
Action1.c(11): t=702ms: Connecting [0] to host 127.0.0.1:1080  	[MsgId: MMSG-26000]
Action1.c(11): Error -27792: Failed to connect to server "localhost:1080": [10061] Connection refused  	[MsgId: MERR-27792]
Action1.c(11): t=2725ms: Closed connection [0] to localhost:1080 after completing 0 request(s)  	[MsgId: MMSG-26000]
Action1.c(11): Error -26366: "Text=Web Tours" not found for web_reg_find  	[MsgId: MERR-26366]
Action1.c(11): Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively.  	[MsgId: MERR-26374]
Action1.c(11): web_url("webtours") highest severity level was "ERROR", 0 body bytes, 0 header bytes  	[MsgId: MMSG-26388]
Action1.c(11): Notify: Transaction "Enterwebtour" ended with a "Fail" status (Duration: 2,0320).	[MsgId: MMSG-16873]
Action1.c(11): Notify: Transaction "Enterwebtour" has 3 error message(s).	[MsgId: MMSG-16818]
Action1.c(11): Notify: The 1st error message associated with transaction "Enterwebtour" is "Error -27792: Failed to connect to server "localhost:1080": [10061] Connection refused"	[MsgId: MMSG-16819]
Action1.c(11): Notify: The 2nd error message associated with transaction "Enterwebtour" is "Error -26366: "Text=Web Tours" not found for web_reg_find"	[MsgId: MMSG-16819]
Action1.c(11): Notify: The 3rd error message associated with transaction "Enterwebtour" is "Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively."	[MsgId: MMSG-16819]
Action1.c(11): Notify: Transaction "4_LookAtListAndDelete" ended with a "Fail" status (Duration: 2,0320).	[MsgId: MMSG-16873]
Action1.c(11): Notify: Transaction "4_LookAtListAndDelete" has 3 error message(s).	[MsgId: MMSG-16818]
Action1.c(11): Notify: The 1st error message associated with transaction "4_LookAtListAndDelete" is "Error -27792: Failed to connect to server "localhost:1080": [10061] Connection refused"	[MsgId: MMSG-16819]
Action1.c(11): Notify: The 2nd error message associated with transaction "4_LookAtListAndDelete" is "Error -26366: "Text=Web Tours" not found for web_reg_find"	[MsgId: MMSG-16819]
Action1.c(11): Notify: The 3rd error message associated with transaction "4_LookAtListAndDelete" is "Error -26374: The above "not found" error(s) may be explained by header and body byte counts being 0 and 0, respectively."	[MsgId: MMSG-16819]
Ending action Action1.	[MsgId: MMSG-15918]
Ending iteration 1.	[MsgId: MMSG-15965]
Starting iteration 2.	[MsgId: MMSG-15968]
Action1.c(11): Resetting all proxy auto-configuration information  	[MsgId: MMSG-26000]
Notify: Next row for parameter login = 2 [table  = login].	[MsgId: MMSG-13876]
Notify: Getting new value for parameter 'login': table = '..\Params\parametrs.dat' column = '0' row = '2'.	[MsgId: MMSG-13877]
Notify: Next row for parameter password = 2 [table  = password].	[MsgId: MMSG-13876]
Notify: Getting new value for parameter 'password': table = '..\Params\parametrs.dat' column = '1' row = '2'.	[MsgId: MMSG-13877]
Starting action Action1.	[MsgId: MMSG-15919]
Action1.c(5): Notify: Transaction "4_LookAtListAndDelete" started.	[MsgId: MMSG-16999]
